Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,222,"Celery flakes, dried",319,11.3,27.8,35.9,9,1435,0.555
Fruits and Fruit Juices,186,"Olives, pickled, canned or bottled, green",145,1.03,3.3,0.54,75.28,1556,2.029
Vegetables and Vegetable Products,179,"Eggplant, pickled",49,0.9,2.5,4.8,86.9,1674,0.14
Vegetables and Vegetable Products,176,"Seaweed, spirulina, dried",290,57.47,3.6,3.1,4.68,1048,2.65
Vegetables and Vegetable Products,174,"Peppers, jalapeno, canned, solids and liquids",27,0.92,2.6,2.14,88.89,1671,0.097
Nut and Seed Products,150,"Nuts, macadamia nuts, raw",718,7.91,8.6,4.57,1.36,5,12.061
Nut and Seed Products,149,"Nuts, macadamia nuts, dry roasted, without salt added",718,7.79,8,4.14,1.61,4,11.947
Nut and Seed Products,148,"Nuts, pecans, oil roasted, without salt added",715,9.2,9.5,3.97,1.13,1,7.238
Nut and Seed Products,148,"Nuts, coconut meat, dried (desiccated), not sweetened",660,6.88,16.3,7.35,3,37,57.218
Nut and Seed Products,147,"Nuts, pecans, dry roasted, without salt added",710,9.5,9.4,4.06,1.12,1,6.283
Nut and Seed Products,145,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted",607,20.04,7,4.15,2.08,161,8.711
Nut and Seed Products,143,"Nuts, pecans",691,9.17,9.6,3.97,3.52,0,6.18
Nut and Seed Products,142,"Nuts, mixed nuts, oil roasted, without peanuts, lightly salted",607,17.86,7.1,5.21,3.15,143,7.143
Nut and Seed Products,140,"Nuts, coconut meat, dried (desiccated), sweetened, shredded",501,2.88,4.5,43.17,12.55,262,31.468
Nut and Seed Products,139,"Nuts, pine nuts, dried",673,13.69,3.7,3.59,2.28,2,4.899
Nut and Seed Products,138,"Seeds, sesame seed kernels, dried (decorticated)",631,20.45,11.6,0.48,3.75,47,9.055
Nut and Seed Products,138,"Nuts, brazilnuts, dried, unblanched",656,14.32,7.5,2.33,3.48,3,15.137
Nut and Seed Products,137,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)",595,17,9.3,0.49,3.05,115,7.529
Nut and Seed Products,137,"Nuts, walnuts, english",654,15.23,6.7,2.61,4.07,2,6.126
Nut and Seed Products,136,"Nuts, hazelnuts or filberts, dry roasted, without salt added",646,15.03,9.4,4.89,2.52,0,4.511
